k_s,alpha_1,T_c1,alpha_2,T_c2,p_T1_x_0,p_T1_y_0,p_T2_x_0,p_T2_y_0,p_T3_x_0,p_T3_y_0,z
0.05,0.5,2,0.9,4,0.5,-0.5,0.2,0.6,0.6,0.0,-0.009501656517386436
t,tStep,p_a_x(t),p_a_y(t),pC_hat_x(t),pC_hat_y(t),u_x(t),u_y(t),v_a_x(t),v_a_y(t),z,d_des(t),d_des_dot(t),delta_traj(t),pT_hat1_x(t),pT_hat1_y(t),P1_11(t),P1_12(t),P1_21(t),P1_22(t),q1_1(t),q1_2(t),xi1_1(t),xi1_2(t),varphi1_x(t),varphi1_y(t),pT_hat2_x(t),pT_hat2_y(t),P2_11(t),P2_12(t),P2_21(t),P2_22(t),q2_1(t),q2_2(t),xi2_1(t),xi2_2(t),varphi2_x(t),varphi2_y(t),pT_hat3_x(t),pT_hat3_y(t),P3_11(t),P3_12(t),P3_21(t),P3_22(t),q3_1(t),q3_2(t),xi3_1(t),xi3_2(t),varphi3_x(t),varphi3_y(t)
-0.18496417999267578,0,1.9149376153945923,-0.9361264705657959,0.6,0.0195,0,0,-0.00018596649169921875,-0.00017881393432617188,-0.00949858594685793,1.0,0.7567846309877777,0.7705941262746798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9556344161050125,0.294555364499837,0.5,0.0585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7448724222378336,0.6672069203699423,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8146451375452552,0.5799597398732711
1.1374132633209229,1,1.9149342775344849,-0.9361258745193481,0.6,0.0195,0,0,-0.00010013580322265625,-0.0008368492126464844,-0.009503155015408993,1.0,0.0,0.7705910068528228,1.0,0.0,0.11464670290989706,0.3719515860106664,0.3719515860106664,1.2067331970687407,-0.12865244155038466,-0.41739080552903723,0.0,0.0,-0.9556343338268951,0.29455563143696023,0.5,0.0585,0.5882321817351126,0.656704714340097,0.656704714340097,0.7331477182435251,0.5116692649510807,0.5712295738141344,0.0,0.0,-0.7448719055098636,0.6672074972466249,0.3,0.0,0.4444504897448221,0.6243009737699097,0.6243009737699097,0.8769294102338158,0.2666702938468933,0.37458058426194585,0.0,0.0,-0.8146446164614485,0.5799604718171572
1.1574108600616455,2,1.9149361848831177,-0.9361305832862854,0.6,0.0195,0,0,-5.7220458984375e-05,-0.0010156631469726562,-0.009505344554781914,1.0,0.0,0.7705951811037732,1.0,0.0,0.1141169579815894,0.37023291404127445,0.37023291404127445,1.2011572430944897,-0.1280579780298425,-0.41546216452660767,0.0,0.0,-0.9556335503904692,0.2945581731476941,0.5,0.0585,0.5855141524525488,0.6536702810771822,0.6536702810771822,0.7297600486235302,0.509304999136819,0.5685900853895545,0.0,0.0,-0.7448712578617991,0.6672082202816307,0.3,0.0,0.44239683390047224,0.6214162724147547,0.6214162724147547,0.8728773671756068,0.26543810034028337,0.37284976344885284,0.0,0.0,-0.81464363563918,0.5799618495320007
1.1724090576171875,3,1.9149391651153564,-0.9361340999603271,0.6,0.0195,0,0,0.00035762786865234375,-0.0004220008850097656,-0.009509129449725151,1.0,0.0,0.770599600414362,1.0,0.0,0.11372042198802684,0.36894637841419164,0.36894637841419164,1.1969831606801753,-0.12761297821308237,-0.4140183911329919,0.0,0.0,-0.9556330564582217,0.2945597756047439,0.5,0.0585,0.5834794977033646,0.6513987594500018,0.6513987594500018,0.7272240849648374,0.5075351552106739,0.5666142028689027,0.0,0.0,-0.7448710749900647,0.6672084244395792,0.3,0.0,0.44085952655808935,0.6192568439314403,0.6192568439314403,0.8698440561101127,0.2645157159348536,0.3715541063588642,0.0,0.0,-0.8146432273212634,0.5799624230754924
1.188405990600586,4,1.9149374961853027,-0.9361305832862854,0.6,0.0195,0,0,-0.00010013580322265625,-7.152557373046875e-05,-0.009515605866909027,1.0,0.0,0.7705962783784834,1.0,0.0,0.11331590838124464,0.3676339347653938,0.3676339347653938,1.1927249397051372,-0.12715901319207454,-0.41254550246987176,0.0,0.0,-0.9556336272325159,0.29455792384932555,0.5,0.0585,0.5814038406416698,0.6490814580615406,0.6490814580615406,0.7246370074447118,0.5057296429652582,0.5645984960791351,0.0,0.0,-0.744871511408835,0.6672079372216113,0.3,0.0,0.43929124633056177,0.6170538978172699,0.6170538978172699,0.8667496017558199,0.26357474779833706,0.370232338690362,0.0,0.0,-0.8146439088917141,0.5799614657075316
1.203026294708252,5,1.9149317741394043,-0.936129093170166,0.6,0.0195,0,0,-0.0008869171142578125,0.0004935264587402344,-0.009516751393675804,1.0,0.0,0.7705906743798898,1.0,0.0,0.11294018767140013,0.3664149370407254,0.3664149370407254,1.1887699928201618,-0.12673737468466262,-0.41117752788971834,0.0,0.0,-0.9556335752153418,0.29455809260847654,0.5,0.0585,0.5794759969021889,0.6469291874170737,0.6469291874170737,0.722234183589373,0.504052711830682,0.5627263476370384,0.0,0.0,-0.7448707266791976,0.6672088132934125,0.3,0.0,0.4378346389445976,0.6150078339548755,0.6150078339548755,0.8638755415469643,0.26270078336675856,0.3690047003729253,0.0,0.0,-0.8146431526788757,0.5799625279217808
1.2186477184295654,6,1.9149354696273804,-0.936129093170166,0.6,0.0195,0,0,0.00018596649169921875,2.1457672119140625e-05,-0.009517624974250793,1.0,0.0,0.7705937666989391,1.0,0.0,0.11254455358603638,0.36513132919014374,0.36513132919014374,1.1846054145574787,-0.12629338780205365,-0.4097370426836676,0.0,0.0,-0.9556337917702633,0.2945573900393422,0.5,0.0585,0.5774459864910196,0.64466283875104,0.64466283875104,0.7197039816524954,0.502286900548828,0.5607549567417051,0.0,0.0,-0.7448714412226161,0.6672080155775579,0.3,0.0,0.4363008434743459,0.6128533260060588,0.6128533260060588,0.8608491246691692,0.2617805060846075,0.3677119956036353,0.0,0.0,-0.8146439227567376,0.5799614462320014
1.2336375713348389,7,1.9149330854415894,-0.9361362457275391,0.6,0.0195,0,0,0.00010013580322265625,-0.0010228157043457031,-0.009518438018858433,1.0,0.0,0.7705956879456446,1.0,0.0,0.11217076961196751,0.3639186231978981,0.3639186231978981,1.1806709071290304,-0.12587392679296527,-0.40837614196556626,0.0,0.0,-0.9556322922372154,0.29456225493678806,0.5,0.0585,0.5755281050164861,0.6425216888455169,0.6425216888455169,0.7173135717245117,0.5006186343106074,0.5588924808038103,0.0,0.0,-0.7448694362618704,0.6672102539102073,0.3,0.0,0.4348517616577229,0.61081783377521,0.61081783377521,0.857989915083275,0.2609110569946337,0.3664907002651261,0.0,0.0,-0.8146413323389087,0.5799650848500173
1.2487750053405762,8,1.9149346351623535,-0.9361283183097839,0.6,0.0195,0,0,0.0002288818359375,0.0007009506225585938,-0.009513367898762226,1.0,0.0,0.7705926441697559,1.0,0.0,0.11179899422991012,0.36271235938172536,0.36271235938172536,1.1767570590079475,-0.1254566825759076,-0.4070223498131111,0.0,0.0,-0.955633890183503,0.29455707075666115,0.5,0.0585,0.5736203581087591,0.640391809335518,0.640391809335518,0.7149356951290983,0.4989591572230626,0.5570397789445625,0.0,0.0,-0.7448714471372766,0.6672080089744273,0.3,0.0,0.43341036589173654,0.6087930725969124,0.6087930725969124,0.855145687346121,0.26004621953504187,0.3652758435581475,0.0,0.0,-0.8146439756743138,0.5799613719012224
1.2645728588104248,9,1.9149353504180908,-0.9361344575881958,0.6,0.0195,0,0,8.58306884765625e-05,-0.0007367134094238281,-0.009513524360954762,1.0,0.0,0.7705966041602734,1.0,0.0,0.11142755336404236,0.3615072614404341,0.3615072614404341,1.1728472548345925,-0.12503985403819587,-0.40566999669707926,0.0,0.0,-0.9556327649237519,0.2945607214212121,0.5,0.0585,0.5717145158295666,0.6382641009413477,0.6382641009413477,0.7125602923690681,0.4973013637307219,0.5551889956097104,0.0,0.0,-0.7448702601996946,0.6672093340699299,0.3,0.0,0.4319703788484921,0.6067703579107689,0.6067703579107689,0.8523044293501427,0.2591822273090952,0.36406221474646144,0.0,0.0,-0.8146423277228287,0.5799636866928234
1.2800796031951904,10,1.9149320125579834,-0.9361269474029541,0.6,0.0195,0,0,0.00011444091796875,0.00038623809814453125,-0.00951376836746931,1.0,0.0,0.7705896990001688,1.0,0.0,0.11106959308358103,0.36034584428372335,0.36034584428372335,1.1690789881360049,-0.12463812560007115,-0.40436657192614084,0.0,0.0,-0.955633997130107,0.29455672378870396,0.5,0.0585,0.5698777071729961,0.6362134368060618,0.6362134368060618,0.7102708740465896,0.49570360351823634,0.5534052117891661,0.0,0.0,-0.7448712359690989,0.6672082447226405,0.3,0.0,0.4305825707499804,0.6048208964709966,0.6048208964709966,0.8495660104696054,0.2583495424499882,0.36289253788259807,0.0,0.0,-0.814643830440153,0.5799615759046417
1.29508638381958,11,1.9149349927902222,-0.9361209869384766,0.6,0.0195,0,0,0.0003719329833984375,0.000286102294921875,-0.009511824697256088,1.0,0.0,0.7705889292546375,1.0,0.0,0.11071676541040272,0.3592011408197023,0.3592011408197023,1.1653651467342772,-0.12424218770464976,-0.4030820029572875,0.0,0.0,-0.9556353049339792,0.2945524808310749,0.5,0.0585,0.5680673898863474,0.6341923696009283,0.6341923696009283,0.7080145222583324,0.49412889973782653,0.5516471872751851,0.0,0.0,-0.7448730988525551,0.6672061649938433,0.3,0.0,0.42921475871407777,0.6028995612212112,0.6028995612212112,0.846867153430602,0.25752885522844665,0.36173973673272686,0.0,0.0,-0.8146461961286067,0.5799582529227355
1.310241937637329,12,1.9149420261383057,-0.9361308217048645,0.6,0.0195,0,0,0.0006580352783203125,-0.0006723403930664062,-0.009513956494629383,1.0,0.0,0.7706001995084,1.0,0.0,0.11036569335894354,0.3580621983107999,0.3580621983107999,1.1616702071052027,-0.12384825247592815,-0.40180400439720143,0.0,0.0,-0.9556338473586617,0.29455720969360427,0.5,0.0585,0.5662662277685302,0.6321815642913704,0.6321815642913704,0.705769672695616,0.49256218412852837,0.5498981164756437,0.0,0.0,-0.7448723358307593,0.6672070168351263,0.3,0.0,0.4278538382447103,0.600987966182355,0.600987966182355,0.8441820622194358,0.2567123029468262,0.36059277970941306,0.0,0.0,-0.8146447830648457,0.579960237796722
1.3257532119750977,13,1.9149419069290161,-0.9361268281936646,0.6,0.0195,0,0,5.7220458984375e-05,0.0002932548522949219,-0.009514080360531807,1.0,0.0,0.7705979131751473,1.0,0.0,0.11001138337466679,0.3569126770712044,0.3569126770712044,1.157940707124173,-0.12345064684826879,-0.4005140150264843,0.0,0.0,-0.95563459959294,0.2945547692040336,0.5,0.0585,0.5644482560610007,0.6301519757009325,0.6301519757009325,0.7035038344378389,0.49098083663275977,0.5481326958028899,0.0,0.0,-0.7448731748262025,0.6672060801763825,0.3,0.0,0.4264802384691579,0.5990585247843642,0.5990585247843642,0.8414718520296817,0.2558881430814947,0.3594351148706186,0.0,0.0,-0.8146459271394235,0.5799586307618405
1.3410074710845947,14,1.914942979812622,-0.936134397983551,0.6,0.0195,0,0,0.000171661376953125,-0.00022172927856445312,-0.009506959468126297,1.0,0.0,0.770602955663745,1.0,0.0,0.10966836820373177,0.35579983833823714,0.35579983833823714,1.1543303418972304,-0.12306573506725267,-0.3992652517794966,0.0,0.0,-0.9556332233413809,0.2945592341892586,0.5,0.0585,0.5626883286689793,0.6281872064960196,0.6281872064960196,0.7013103814319827,0.4894499896314077,0.5464236701583935,0.0,0.0,-0.7448717482479162,0.6672076728141644,0.3,0.0,0.4251504815053673,0.5971906967589496,0.5971906967589496,0.8388482285955947,0.25509028890322033,0.3583144180553699,0.0,0.0,-0.8146439350031651,0.5799614290300338
1.357041835784912,15,1.9149397611618042,-0.936131477355957,0.6,0.0195,0,0,-0.00038623809814453125,0.0003504753112792969,-0.009505712427198887,1.0,0.0,0.7705986632061663,1.0,0.0,0.10932384543601577,0.35468203825076866,0.35468203825076866,1.1507036526077374,-0.12267909640737644,-0.39801080717848436,0.0,0.0,-0.9556335899835491,0.2945580446960395,0.5,0.0585,0.5609204951214624,0.6262135787582083,0.6262135787582083,0.6991070029222906,0.48791224627921753,0.5447069175050161,0.0,0.0,-0.7448717563577247,0.6672076637603606,0.3,0.0,0.42381477551856356,0.5953144608363323,0.5953144608363323,0.8362127225251894,0.2542888653111381,0.35718867650179953,0.0,0.0,-0.814644119174162,0.5799611703338025
1.3722095489501953,16,1.9149377346038818,-0.9361287355422974,0.6,0.0195,0,0,0.00034332275390625,-0.000400543212890625,-0.009502062574028969,1.0,0.0,0.7705954661787877,1.0,0.0,0.10900405652495528,0.35364450451808643,0.35364450451808643,1.1473374438124586,-0.12232022399656557,-0.3968464696471861,0.0,0.0,-0.9556339924869042,0.294556738852703,0.5,0.0585,0.5592796280542855,0.6243816978903577,0.6243816978903577,0.6970618722831282,0.4864849443450718,0.5431134629479485,0.0,0.0,-0.7448719563655037,0.6672074404712727,0.3,0.0,0.4225749963215187,0.5935729756024877,0.5935729756024877,0.8337665040158951,0.2535449977929112,0.3561437853614927,0.0,0.0,-0.8146444994171453,0.5799606362240362
1.3873951435089111,17,1.9149367809295654,-0.9361283779144287,0.6,0.0195,0,0,-0.00011444091796875,4.291534423828125e-05,-0.009505657479166985,1.0,0.0,0.7705944723466409,1.0,0.0,0.1086883815553059,0.35262033758989875,0.35262033758989875,1.144014665646716,-0.12196597801729643,-0.39569716402840865,0.0,0.0,-0.9556340045924717,0.2945566995784608,0.5,0.0585,0.5576599218065534,0.6225734454338254,0.6225734454338254,0.6950431253954683,0.485076051621606,0.5415405643240461,0.0,0.0,-0.7448718491661047,0.6672075601489148,0.3,0.0,0.42135119986841835,0.5918539502148579,0.5918539502148579,0.8313518473336035,0.252810719921051,0.3551123701289148,0.0,0.0,-0.814644405367951,0.5799607683306667
1.4028923511505127,18,1.9149397611618042,-0.9361305832862854,0.6,0.0195,0,0,0.00018596649169921875,-0.0004076957702636719,-0.00951332226395607,1.0,0.0,0.7705981736718506,1.0,0.0,0.10837037575183567,0.35158860916661416,0.35158860916661416,1.1406673571144628,-0.12160911670738925,-0.39453937397392436,0.0,0.0,-0.955633759959228,0.2945574932439993,0.5,0.0585,0.5560282602513213,0.6207518436500405,0.6207518436500405,0.6930094726149769,0.48365675824028864,0.5399560522989942,0.0,0.0,-0.7448719493529552,0.6672074483000984,0.3,0.0,0.420118370852913,0.5901222347409126,0.5901222347409126,0.8289193620133853,0.25207102251174773,0.3540733408445476,0.0,0.0,-0.8146443808720865,0.5799608027388877
1.4177494049072266,19,1.9149415493011475,-0.9361249208450317,0.6,0.0195,0,0,0.000629425048828125,-4.291534423828125e-05,-0.00950835831463337,1.0,0.0,0.7705965695826626,1.0,0.0,0.1080600079052823,0.35058164916955276,0.35058164916955276,1.1374003678106535,-0.12126082063213524,-0.39340935932055043,0.0,0.0,-0.9556349412473436,0.2945536607601168,0.5,0.0585,0.5544357518181349,0.6189739549244095,0.6189739549244095,0.6910246238978007,0.4822715233182727,0.5384095653235623,0.0,0.0,-0.7448735174007881,0.6672056977237063,0.3,0.0,0.41891512682293863,0.5884320757428446,0.5884320757428446,0.8265452488929971,0.2513490760937631,0.3530592454457068,0.0,0.0,-0.814646410905034,0.5799579512340067
1.4332466125488281,20,1.9149363040924072,-0.9361255764961243,0.6,0.0195,0,0,-0.00057220458984375,-0.00023603439331054688,-0.009492073208093643,1.0,0.0,0.7705925394652022,1.0,0.0,0.10774060452868749,0.34954543437036123,0.34954543437036123,1.1340386591140872,-0.12090241492083689,-0.39224661237186303,0.0,0.0,-0.955634509239202,0.29455506234174533,0.5,0.0585,0.5527970204595464,0.6171444978125605,0.6171444978125605,0.6889822431832281,0.4808461027794456,0.5368182454724489,0.0,0.0,-0.744872361686978,0.6672069879691485,0.3,0.0,0.4176769352240433,0.5866928794888966,0.5866928794888966,0.8241023284187312,0.2506061611344259,0.35201572769333805,0.0,0.0,-0.8146451259925788,0.5799597561008311
1.4492461681365967,21,1.91493821144104,-0.9361322522163391,0.6,0.0195,0,0,0.0001430511474609375,-0.0004649162292480469,-0.009490663185715675,1.0,0.0,0.7705977906903989,1.0,0.0,0.10742577348252663,0.3485240312070823,0.3485240312070823,1.1307249312125605,-0.12054912886227785,-0.39110045000273913,0.0,0.0,-0.9556333518575303,0.2945588172463043,0.5,0.0585,0.5511817101676542,0.6153411616614759,0.6153411616614759,0.6869689945274328,0.47944103903041635,0.5352496290487548,0.0,0.0,-0.7448712894491327,0.6672081850175298,0.3,0.0,0.4164564519949886,0.5849785236247816,0.5849785236247816,0.8216942527000983,0.24987387119699309,0.35098711417486905,0.0,0.0,-0.8146435694349614,0.5799619425257707
1.4642994403839111,22,1.9149359464645386,-0.9361342787742615,0.6,0.0195,0,0,-0.00027179718017578125,-0.00024318695068359375,-0.009489265270531178,1.0,0.0,0.7705970050135118,1.0,0.0,0.10712507951893681,0.34754843565258986,0.34754843565258986,1.1275596309452356,-0.12021167806682655,-0.3900055976463229,0.0,0.0,-0.9556328338480632,0.29456049781245286,0.5,0.0585,0.5496387913731238,0.6136186201570004,0.6136186201570004,0.6850459190910485,0.478098930368825,0.5337512754860292,0.0,0.0,-0.7448704140477488,0.6672091623144388,0.3,0.0,0.4152906850987645,0.5833409861803299,0.5833409861803299,0.8193940253654078,0.2491744110592586,0.35000459170819803,0.0,0.0,-0.8146425042689933,0.579963438708289
1.4808034896850586,23,1.9149361848831177,-0.9361334443092346,0.6,0.0195,0,0,7.152557373046875e-05,0.0004935264587402344,-0.009493007324635983,1.0,0.0,0.7705967476173441,1.0,0.0,0.10681972347152974,0.3465576876812344,0.3465576876812344,1.1243450833886406,-0.11986898210485235,-0.3888936978537032,0.0,0.0,-0.9556330064649977,0.2945599377964861,0.5,0.0585,0.5480718938915896,0.611869288748483,0.611869288748483,0.6830929129685807,0.4767359520274077,0.532229605530845,0.0,0.0,-0.7448706402763384,0.667208909753398,0.3,0.0,0.41410681212926126,0.5816779878252777,0.5816779878252777,0.817057994730909,0.24846408727755667,0.3490067926951667,0.0,0.0,-0.8146427982035728,0.579963025834452
